Flight No.,Date andtime (UTC),"Version,booster[i]",Launchsite,Payload[j],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding
362,"August 12, 202402:02[148]",F9B5B1061‑22,"Vandenberg,SLC‑4E",ASBM1(GX10A) &ASBM2(GX10B),"~7,230 kg (15,940 lb)[149]",Molniya,Space Norway,Success,Success (OCISLY)
363,"August 12, 202410:37[154]",F9B5B1073‑17,"Kennedy,LC‑39A",Starlink:Group 10-7(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
364,"August 15, 202413:00[155]",F9B5B1076‑16,"Cape Canaveral,SLC‑40",WorldView Legion3 & 4,"1,500 kg (3,300 lb)",LEO,Maxar Technologies,Success,Success (LZ‑1)
365,"August 16, 202418:56[157]",F9B5B1075‑12,"Vandenberg,SLC-4E",Transporter-11(116 payload smallsat rideshare),Unknown[k],SSO,Various,Success,Success (LZ‑4)
366,"August 20, 202413:20[158]",F9B5B1085‑1,"Cape Canaveral,SLC‑40",Starlink:Group 10-5(23 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG)
367,"August 28, 202407:48[159]",F9B5B1062‑23,"Cape Canaveral,SLC‑40",Starlink:Group 8-6(21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Failure (ASOG)
368,"August 31, 202407:43[164]",F9B5B1069‑18,"Cape Canaveral,SLC‑40",Starlink:Group 8-10(21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI)
369,"August 31, 202408:48[165]",F9B5B1081‑9,"Vandenberg,SLC-4E",Starlink:Group 9-5(21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
370,"September 5, 202415:33[166]",F9B5B1077‑15,"Cape Canaveral,SLC‑40",Starlink:Group 8-11(21 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI)
371,"September 6, 202403:20[167]",F9B5B1063‑20,"Vandenberg,SLC‑4E",NROL-113 (21Starshieldsatellites),Unknown,LEO,NRO,Success,Success (OCISLY)
372,"September 10, 202409:23[168]",F9B5B1083‑4,"Kennedy,LC‑39A",Polaris Dawn(Crew Dragon C207-3Resilience),"~13,000 kg (29,000 lb)",LEO,Polaris Program,Success,Success (JRTI)
373,"September 12, 202408:52[172]",F9B5B1078‑13,"Cape Canaveral,SLC‑40",BlueBird Block 1 (5 satellites)[173],"7,500 kg (16,500 lb)",LEO,AST SpaceMobile,Success,Success (LZ‑1)
374,"September 13, 202401:45[174]",F9B5B1071‑18,"Vandenberg,SLC-4E",Starlink:Group 9-6(21satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
375,"September 17, 202422:50[175]",F9B5B1067‑22,"Cape Canaveral,SLC‑40",Galileo-L13 (FOC FM26 & FM32),"1,600 kg (3,500 lb)",MEO,ESA,Success,Success (JRTI)
376,"September 20, 202413:50[177]",F9B5B1075‑13,"Vandenberg,SLC-4E",Starlink:Group 9-17(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
377,"September 25, 202404:01[178]",F9B5B1081‑10,"Vandenberg,SLC-4E",Starlink:Group 9-8(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
378,"September 28, 202417:17[179]",F9B5B1085‑2,"Cape Canaveral,SLC‑40",Crew-9(Crew Dragon C212-4Freedom),"~13,000 kg (29,000 lb)",LEO(ISS),NASA(CTS)[180],Success,Success (LZ‑1)
379,"October 7, 202414:52[187]",F9B5B1061‑23,"Cape Canaveral,SLC‑40",Hera,"1,108 kg (2,443 lb)",Heliocentric,ESA,Success,No attempt
FH 11,"October 14, 202416:06[189]",Falcon HeavyB5B1089(core),"Kennedy,LC‑39A",Europa Clipper,"6,065 kg (13,371 lb)",Heliocentric,NASA,Success,No attempt
380,"October 15, 202406:10[196]",F9B5B1080‑11,"Cape Canaveral,SLC‑40",Starlink:Group 10-10(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
381,"October 15, 202408:21[197]",F9B5B1071‑19,"Vandenberg,SLC-4E",Starlink:Group 9-7(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
382,"October 18, 202423:31[198]",F9B5B1076‑17,"Cape Canaveral,SLC‑40",Starlink:Group8-19(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (JRTI)
383,"October 20, 202405:13[199]",F9B5B1082‑7,"Vandenberg,SLC-4E",OneWeb #20(20 satellites),"2,954 kg (6,512 lb)",PolarLEO,OneWeb,Success,Success (LZ‑4)
384,"October 23, 202421:47[200]",F9B5B1073‑18,"Cape Canaveral,SLC‑40",Starlink:Group 6-61(23satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
385,"October 24, 202417:13[201]",F9B5B1063‑21,"Vandenberg,SLC-4E",NROL-167(~17Starshieldsatellites),Unknown,LEO,NRO,Success,Success (OCISLY)
386,"October 26, 202421:47[202]",F9B5B1069‑19,"Cape Canaveral,SLC‑40",Starlink:Group 10-8(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (JRTI)
387,"October 30, 202412:07[203]",F9B5B1075‑14,"Vandenberg,SLC-4E",Starlink:Group 9-9(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
388,"October 30, 202421:10[204]",F9B5B1078‑14,"Cape Canaveral,SLC‑40",Starlink:Group 10-13(23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
389,"November 5, 202402:29[205]",F9B5B1083‑5,"Kennedy,LC‑39A",SpaceX CRS-31(Cargo Dragon C208-5),"2,762 kg (6,089 lb)",LEO(ISS),NASA(CRS),Success,Success (LZ‑1)
390,"November 7, 202420:19[208]",F9B5B1085‑3,"Cape Canaveral,SLC‑40",Starlink:Group 6-77(23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
391,"November 9, 202406:14[209]",F9B5B1081‑11,"Vandenberg,SLC-4E",Starlink:Group 9-10(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
392,11 November 202417:22[210],F9B5B1067‑23,"Kennedy,LC‑39A",Koreasat6A,"3,900 kg (8,600 lb)",GTO,KT Sat,Success,Success (LZ‑1)
393,"November 11, 202421:28[213]",F9B5B1080‑12,"Cape Canaveral,SLC‑40",Starlink:Group 6-69(24satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG)
394,"November 14, 202405:23[214]",F9B5B1082‑8,"Vandenberg,SLC-4E",Starlink:Group 9-11(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
395,"November 14, 202413:21[215]",F9B5B1076‑18,"Cape Canaveral,SLC‑40",Starlink:Group 6-68(24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (JRTI)
396,"November 17, 202422:28[216]",F9B5B1077‑16,"Kennedy,LC‑39A",Optus-X/TD7,"~4,000 kg (8,800 lb)[217]",GTO,Optus,Success,Success (ASOG)
397,"November 18, 202405:53[218]",F9B5B1071‑20,"Vandenberg,SLC-4E",Starlink:Group 9-12(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
398,"November 18, 202418:31[219]",F9B5B1073‑19,"Cape Canaveral,SLC‑40",GSAT-20(GSAT-N2),"4,700 kg (10,400 lb)",GTO,New Space India LimitedDish TV,Success,Success (JRTI)
399,"November 21, 202416:07[221]",F9B5B1069‑20,"Cape Canaveral,SLC‑40",Starlink:Group 6-66(24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG)
400,"November 24, 202405:25[222]",F9B5B1075‑15,"Vandenberg,SLC-4E",Starlink:Group 9-13(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
401,"November 25, 202410:02[223]",F9B5B1080‑13,"Cape Canaveral,SLC‑40",Starlink:Group 12-1(23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
402,"November 27, 202404:41[225]",F9B5B1078‑15,"Kennedy,LC‑39A",Starlink:Group 6-76(24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG)
403,"November 30, 202405:00[226]",F9B5B1083‑6,"Cape Canaveral,SLC‑40",Starlink:Group 6-65(24 satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (JRTI)
404,"November 30, 202408:10[227]",F9B5B1088‑1,"Vandenberg,SLC-4E",NROL-126(2Starshieldsatellites) +Starlink:Group N-01[228](20 satellites),"~16,100 kg (35,500 lb)(Starlink)",LEO,NRO/SpaceX,Success,Success (OCISLY)
405,"December 4, 202410:13[229]",F9B5B1067‑24,"Cape Canaveral,SLC‑40",Starlink:Group 6-70(24satellites),"~17,500 kg (38,600 lb)",LEO,SpaceX,Success,Success (ASOG)
406,"December 5, 202403:05[230]",F9B5B1081‑12,"Vandenberg,SLC-4E",Starlink:Group 9-14(20satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
407,"December 5, 202416:10[231]",F9B5B1076‑19,"Kennedy,LC‑39A",SXM-9,"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,Success (JRTI)
408,"December 8, 202405:12[234]",F9B5B1086‑2,"Cape Canaveral,SLC‑40",Starlink:Group 12-5(23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
409,"December 13, 202421:55[235]",F9B5B1082‑9,"Vandenberg,SLC-4E",Starlink:Group 11-2(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
410,"December 17, 202400:52[236]",F9B5B1085‑4,"Cape Canaveral,SLC‑40",GPS III-7 (RRT-1)[237][238],"~4,350 kg (9,590 lb)",MEO,USSF,Success,Success (ASOG)
411,"December 17, 202413:19[239]",F9B5B1063‑22,"Vandenberg,SLC‑4E",NROL-149 (22Starshieldsatellites)[240],Unknown,LEO,NRO,Success,Success (OCISLY)
412,"December 17, 202422:26[241]",F9B5B1090‑1,"Kennedy,LC‑39A",O3b mPOWER7 & 8,"3,400 kg (7,500 lb)",MEO,SES,Success,Success (JRTI)
413,"December 21, 202411:34[243]",F9B5B1071‑21,"Vandenberg,SLC-4E",Bandwagon-2(30 payload smallsat rideshare)[68][88]425 Project Flight 3,"800 kg (1,800 lb)(main satellite)+ unknown additional",LEO,VariousRepublic of Korea Armed Forces,Success,Success (LZ‑4)
414,"December 23, 202405:35[245]",F9B5B1080‑14,"Kennedy,LC‑39A",Starlink:Group 12-2(21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI)
415,"December 29, 202401:58[246]",F9B5B1075‑16,"Vandenberg,SLC-4E",Starlink:Group 11-3(22satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
416,"December 29, 202405:00[247]",F9B5B1083‑7,"Cape Canaveral,SLC‑40",Astranis: From One to Many (4 satellites),"1,600 kg (3,500 lb)",GTO,Astranis,Success,Success (ASOG)
417,"December 31, 202405:39[249]",F9B5B1078‑16,"Kennedy,LC‑39A",Starlink:Group 12-6(21satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI)
